Course,Year,Semester,Subject
BCA,1st,2,Data Structure and Algorithm
BCA,1st,2,Data Structure and Algorithm Lab
BCA,1st,2,Mathematics II
BCA,1st,2,Digital and Analog Communications
BCA,1st,2,Digital and Analog Communications Lab
BCA,1st,2,Modern Indian Language (Bengali/ Hindi)
BCA,1st,2,Interpersonal and soft skill
BCA,1st,2,Environmental Science-II
BCA,1st,2,Digital Transformations
BCA,1st,2,Competitive Coding
BCA,1st,2,MIL BENGALI
BCA,2nd,4,Database Management System
BCA,2nd,4,Database Management System Lab
BCA,2nd,4,Artificial Intelligence
BCA,2nd,4,Artificial Intelligence Lab
BCA,2nd,4,Machine Learning
BCA,2nd,4,Machine Learning Lab
BCA,2nd,4,MIL- Bengali /Hindi II
BCA,2nd,4,Python Programming
BCA,2nd,4,Python Programming Lab
BCA,2nd,4,Communicative English
BCA,2nd,4,Competitive Coding
BCA,3rd,6,THEORY OF COMPUTATION
BCA,3rd,6,MICROPROCESSOR & MICROCONTROLLER
BCA,3rd,6,WEB DESIGN AND DEVELOPMENT
BCA,3rd,6,CRYPTOGRAPHY
BCA,3rd,6,LINUX SYSTEM ADMINISTRATION
BCA,3rd,6,CRYPTOGRAPHY LAB
BCA,3rd,6,WEB DESIGN AND DEVELOPMENT LAB
BCA,3rd,6,LINUX SYSTEM ADMINISTRATION LAB
B.Sc ANCS,1st,2,Data Structure and Algorithm
B.Sc ANCS,1st,2,Data Structure and Algorithm Lab
B.Sc ANCS,1st,2,Networking Fundamentals
B.Sc ANCS,1st,2,Networking Fundamentals Lab
B.Sc ANCS,1st,2,Digital and Analog Communications
B.Sc ANCS,1st,2,Digital and Analog Communications Lab
B.Sc ANCS,1st,2,Modern Indian Language (Bengali/ Hindi)
B.Sc ANCS,1st,2,Interpersonal and soft skill
B.Sc ANCS,1st,2,Environmental Science-II
B.Sc ANCS,1st,2,Digital Transformations
B.Sc ANCS,1st,2,MIL BENGALI
B.Sc ANCS,2nd,4,Cryptography
B.Sc ANCS,2nd,4,Cryptography Lab
B.Sc ANCS,2nd,4,Operating System
B.Sc ANCS,2nd,4,Operating System Lab
B.Sc ANCS,2nd,4,Machine Learning
B.Sc ANCS,2nd,4,Machine Learning Lab
B.Sc ANCS,2nd,4,Mil-Bengali/Hindi II
B.Sc ANCS,2nd,4,Programming in Python Programming
B.Sc ANCS,2nd,4,Programming in Python Lab
B.Sc ANCS,3rd,6,WINDOWS SERVER ADMINISTRATION
B.Sc ANCS,3rd,6,AUDITING IT INFRASTRUCTURE FOR COMPLIANCE
B.Sc ANCS,3rd,6,INTRUSION DETECTION AND PREVENTION SYSTEM
B.Sc ANCS,3rd,6,DIGITAL FORENSIC
B.Sc ANCS,3rd,6,PENETRATION TESTING
B.Sc ANCS,3rd,6,WINDOWS SERVER ADMINISTRATION LAB
B.Sc ANCS,3rd,6,DIGITAL FORENSIC LAB
B.Sc ANCS,3rd,6,PENETRATION TESTING LAB
B.Tech CSE,2nd,4,Computer Architecture
B.Tech CSE,2nd,4,Design & Analysis of Algorithms
B.Tech CSE,2nd,4,Discrete Mathematics
B.Tech CSE,2nd,4,Formal Language & Automata Theory
B.Tech CSE,2nd,4,Biology
B.Tech CSE,2nd,4,Environmental Science
B.Tech CSE,2nd,4,Competitive Coding
B.Tech CSE,3rd,6,Database Management System
B.Tech CSE,3rd,6,Computer Networks
B.Tech CSE,3rd,6,VLSI and Microelectronics
B.Tech CSE,3rd,6,Data Warehousing & Data Mining
B.Tech CSE,3rd,6,Numerical Methods
B.Tech CSE,3rd,6,Research Methodology
B.Tech CSE,3rd,6,Competitive Coding
B.Tech CSE,4th,8,Big Data Analysis
B.Tech CSE,4th,8,NLP
B.Tech CSE,4th,8,Economic Policy In India
B.Tech CSE,4th,8,Deep Learning
B.Tech CSE,4th,8,"AI Ethics, Explainable AI and Responsible"
B.Tech CSE,4th,8,INTERNET OF THINGS
B.Tech CSE,4th,8,WEB AND INTERNET TECHNOLOGY
B.Tech CSE,4th,8,CRYPTOGRAPHY AND NETWORK SECURITY
B.Tech CSE,4th,8,SIGNAL AND NETWORK
B.Tech CSE,4th,8,Cyber Forensics and Incident Response
B.Tech CSE,4th,8,Advanced Network and Web Security
B.Tech CSE,4th,8,Cyber Law Ethics and Digital Rights
B.Tech CSE,1st,2,Chemistry - I
B.Tech CSE,1st,2,Mathematics IIA
B.Tech CSE,1st,2,Programming for Problem Solving
B.Tech CSE,1st,2,English
B.Tech CSE,1st,2,Engineering Graphics & Design
B.Tech CSE,1st,2,Physics-I
B.Tech DS,3rd,6,Big Data Analysis
B.Tech DS,3rd,6,Artificial Intelligence
B.Tech DS,3rd,6,Data Communication and Computer Networks
B.Tech DS,3rd,6,Big Data Technology
B.Tech DS,3rd,6,Vlsi and Microelectronics
B.Tech DS,3rd,6,Data Warehousing
B.Tech DS,3rd,6,Numerical Methods
B.Tech DS,3rd,6,Artificial Intelligence Lab
B.Tech DS,3rd,6,Data Communication and Computer Networks Lab
B.Tech DS,3rd,6,Big Data Technology and OLAP Lab
B.Tech DS,3rd,6,Research Methodology
B.Tech DS,2nd,4,Discrete Mathematics
B.Tech DS,2nd,4,Database Management System
B.Tech DS,2nd,4,Formal Language & Automata Theory
B.Tech DS,2nd,4,Design & Analysis of Algorithms
B.Tech DS,2nd,4,Data Mining
B.Tech DS,2nd,4,Biology
B.Tech DS,2nd,4,Environmental Science
